circulating_supply,id,last_updated,market_cap,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price,rank,symbol,total_supply,volume_24h,website_slug
49935730.0,2744,1531081966.0,4171401.0,,NPER,0.23,5.54,12.94,0.0835354,631,NPER,250000000.0,1421790.0,nper
,2746,1531081966.0,,,Dascoin,-6.14,-7.72,-12.96,0.108532,1465,DASC,889868500.0,51191.3,dascoin
,2747,1531081966.0,,,BlockMesh,0.12,7.37,10.89,0.0124982,1478,BMH,2000000000.0,25496.7,blockmesh
21375556.0,2748,1531081966.0,4578152.0,,Loki,-1.04,-6.41,-9.98,0.214177,607,LOKI,28293148.0,15566.6,loki
86041730.0,2749,1531081966.0,819806.0,,Signals Network,0.21,4.35,13.46,0.009528,864,SGN,185000000.0,143489.0,signals-network
84692607.0,2750,1531081967.0,2556556.0,,Oyster Shell,5.22,2.65,-3.36,0.0301863,728,SHL,98592692.0,10071.1,oyster-shell
31415658.0,2751,1531081967.0,1247136.0,,FundRequest,0.07,-34.7,-48.2,0.0396979,821,FND,98611464.0,4321.07,fundrequest
127756071.0,2752,1531081967.0,647621.0,,Datarius Credit,0.13,1.44,1.38,0.0050692,888,DTRC,239992867.0,332665.0,datarius-credit
105676960.0,2753,1531081966.0,3889821.0,,Colu Local Network,-0.02,4.6,1.97,0.0368086,648,CLN,1540701334.0,111191.0,colu-local-network
452857303.0,2754,1531081966.0,6773704.0,,HeroNode,-0.77,0.86,6.62,0.0149577,522,HER,2000000000.0,193955.0,heronode
,2755,1531081966.0,,,Hero,0.12,-5.41,-0.51,0.0940902,1526,HERO,14765425.0,578.731,hero
42135421.0,2756,1531081965.0,2274120.0,,Tokia,9.04,-7.49,5.25,0.0539717,747,TKA,52669277.0,22570.6,tokia
405982216.0,2757,1531081966.0,8225362.0,6500000000.0,Callisto Network,-1.19,-6.03,14.13,0.0202604,484,CLO,449004853.0,19038.3,callisto-network
134427622.0,2758,1531081967.0,5902690.0,,Unibright,-0.18,0.79,-7.6,0.0439098,558,UBT,150000000.0,74530.3,unibright
229951545.0,2759,1531081966.0,6258131.0,,Patron,0.11,0.83,-18.06,0.027215,543,PAT,400000000.0,20467.0,patron
,2760,1531081966.0,,,Libra Credit,0.03,3.69,0.36,0.132906,1382,LBA,1000000000.0,3139530.0,libra-credit
94680597.0,2761,1531081965.0,4381553.0,,Local World Forwarders,0.12,3.31,-3.7,0.0462772,617,LWF,105826865.0,1397.56,local-world-forwarders
,2762,1531081966.0,,,Open Platform,-0.39,4.61,2.92,0.0845518,1421,OPEN,1000000000.0,613700.0,open-platform
28406766.0,2763,1529825688.0,3681091.0,,Morpheus Network,,,,0.129585,1003,MORPH,51065818.0,,morpheus-network
82932191711.0,2764,1531081965.0,7258524.0,,Silent Notary,0.75,5.15,-13.2,8.75236e-05,511,SNTR,186462812051.0,82343.7,silent-notary
4543497001.0,2765,1531081966.0,10777493.0,,XYO Network,1.77,4.62,4.74,0.00237207,431,XYO,14198877960.0,17904.1,xyo-network
